name,release_date,developer,publisher,platforms,required_age,categories,genres
Braveland Wizard,2014-12-04,Tortuga Team,Tortuga Team,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Adventure;Casual;Indie;RPG;Strategy
Dirty Bomb®,2015-06-01,Splash Damage,Warchest Ltd.,windows,0,Multi-player;Online Multi-Player;Steam Achievements;Steam Trading Cards;In-App Purchases,Action;Free to Play
Medieval Engineers,2015-02-19,Keen Software House,Keen Software House,windows,0,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Workshop;Partial Controller Support,Action;Indie;Simulation;Strategy;Early Access
A Druid's Duel,2015-02-25,Thoughtshelter Games,Surprise Attack ,windows;mac;linux,0,Single-player;Multi-player;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards,Indie;Strategy
AKIBA'S TRIP: Undead ＆ Undressed,2015-05-26,ACQUIRE Corp.,"XSEED Games;Marvelous USA, Inc.",windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Adventure;Casual;RPG
Conclave,2017-01-20,10x10 Room,10x10 Room,windows;mac,0,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Cross-Platform Multiplayer,Indie;RPG
Epic Arena,2015-05-05,Shadow Masters,Shadow Masters,windows,0,Single-player;Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards,Free to Play;Indie;Strategy
Hektor,2015-03-13,Rubycone,Rubycone,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Action;Adventure;Indie
Extreme Exorcism,2015-09-23,Golden Ruby Games,Ripstone,windows;mac,0,Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Stats;Steam Leaderboards,Action;Adventure;Casual;Indie
Armikrog,2015-09-30,Pencil Test Studios,Versus Evil,windows;mac;linux,0,Single-player,Adventure;Indie
Roche Fusion,2015-01-23,amulware,amulware,windows,0,Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards,Action;Casual;Indie
Insanity's Blade,2014-12-04,Causal Bit Games Inc.,Causal Bit Games Inc.,windows,0,Single-player;Shared/Split Screen;Steam Achievements;Partial Controller Support;Steam Cloud,Action;Casual;Indie
Fortified,2016-02-03,Clapfoot,Clapfoot,windows,0,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Indie;Strategy
Star Traders: 4X Empires,2014-12-16,Trese Brothers,Trese Brothers,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards,Indie;Simulation;Strategy
Lost Sea,2016-07-05,Eastasiasoft Limited,Eastasiasoft Limited,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Adventure;Indie
